Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
43,"Mangat and Elgarf (1999a), G4_6",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,448.63,526.24,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,0.188,290,49.9,57.6,8.35,83.36,9.22,90.59,4.1,6.9,12.17,1.68,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
44,"Mangat and Elgarf (1999a), G4_7",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,424.84,502.32,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,0.25,290,36.1,45.1,6.54,65.27,9.22,70.93,2.7,5.5,13.37,2.04,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
45,"Mangat and Elgarf (1999a), G4_8",Corrosion restricted to one tensile reinforcing bar.,R,SS_FPB_MONO,0,100,150,910,860,25,25,25,T_C,2,10,1.047,2,6,D,H-90,0,424.84,502.32,0.377,2,D,70,6,370,0.808,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,0.25,290,36.1,45.1,6.54,65.27,9.22,70.93,2.7,5.5,13.37,2.04,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement. behaviour.
46,"Mangat and Elgarf (1999a), G5_1",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,48.8,57.6,8.35,88.21,9.23,90.5,3.3,8,14.79,2.42,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
47,"Mangat and Elgarf (1999a), G5_2",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,48.8,57.6,8.35,88.21,9.23,90.5,3.3,8,14.79,2.42,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
48,"Mangat and Elgarf (1999a), G5_3",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,41.2,46.8,6.79,71.67,9.23,73.53,2.5,6.4,16.48,2.56,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
49,"Mangat and Elgarf (1999a), G5_4",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,41.2,46.8,6.79,71.67,9.23,73.53,2.5,6.4,16.48,2.56,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
50,"Mangat and Elgarf (1999a), G5_5",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,0.188,290,28.7,32.8,4.76,50.23,9.23,51.53,1.7,4.3,16.88,2.53,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
51,"Mangat and Elgarf (1999a), G5_6",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,0.188,290,28.7,32.8,4.76,50.23,9.23,51.53,1.7,4.3,16.88,2.53,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
52,"Mangat and Elgarf (1999a), G5_7",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,0.25,290,11.8,16.7,2.42,25.57,9.23,26.24,0.43,3.4,27.44,7.91,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
53,"Mangat and Elgarf (1999a), G5_8",Both tension bars corroding in alternative sequence.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,424.84,502.32,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,0.25,290,11.8,16.7,2.42,25.57,9.23,26.24,0.43,3.4,27.44,7.91,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
54,"Mangat and Elgarf (1999a), G6_1",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,0.031,290,48.1,61.75,8.95,94.56,9.23,97.02,2.7,9.1,17.81,3.37,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
55,"Mangat and Elgarf (1999a), G6_2",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,0.031,290,48.1,61.75,8.95,94.56,9.23,97.02,2.7,9.1,17.81,3.37,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
56,"Mangat and Elgarf (1999a), G6_3",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,508.11,586.04,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,0.031,290,48.1,61.75,8.95,94.56,9.23,97.02,2.7,9.1,17.81,3.37,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
57,"Mangat and Elgarf (1999a), G6_4",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,46,57.2,8.29,87.6,9.23,89.87,2.8,7.1,16.43,2.54,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
58,"Mangat and Elgarf (1999a), G6_5",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,46,57.2,8.29,87.6,9.23,89.87,2.8,7.1,16.43,2.54,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
59,"Mangat and Elgarf (1999a), G6_6",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,496.21,574.08,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,0.063,290,46,57.2,8.29,87.6,9.23,89.87,2.8,7.1,16.43,2.54,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
60,"Mangat and Elgarf (1999a), G6_7",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,0.094,290,41.6,51.9,7.53,79.48,9.23,81.54,2.6,6,16,2.31,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
61,"Mangat and Elgarf (1999a), G6_8",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,0.094,290,41.6,51.9,7.53,79.48,9.23,81.54,2.6,6,16,2.31,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
62,"Mangat and Elgarf (1999a), G6_9",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,484.32,562.12,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,0.094,290,41.6,51.9,7.53,79.48,9.23,81.54,2.6,6,16,2.31,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
63,"Mangat and Elgarf (1999a), G6_10",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,39.3,45.7,6.63,69.98,9.23,71.8,2.5,5,15.72,2,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
64,"Mangat and Elgarf (1999a), G6_11",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,39.3,45.7,6.63,69.98,9.23,71.8,2.5,5,15.72,2,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
65,"Mangat and Elgarf (1999a), G6_12",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,472.42,550.16,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,0.125,290,39.3,45.7,6.63,69.98,9.23,71.8,2.5,5,15.72,2,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
66,"Mangat and Elgarf (1999a), G6_13",Both tension bars corroding simultaneously.,R,SS_FPB_MONO,0,100,150,910,860,25,25,0,ST,2,10,1.047,0,0,D,H-90,0,448.63,526.24,0,0,N/A,0,0,0,0,OPC,0.53,10,Cube,40,IC,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,0.188,290,25.1,31.1,4.51,47.63,9.23,48.86,1.4,3,17.93,2.14,Flexural-bending (ductile),Supplemented by Elgarf (2004) Ph.D. Thesis. NaCl salt (1% by cement weight) cast in mix to improve concrete conductivity and galvanic corrosion potential. Stirrups and top steel interfered with corrosion induction so  external collars were used for shear reinforcement instead. Corrosion damage based on Faraday's Law - not experimentally measured. Concrete compressive strengths based on target not actual. Bond-slip failure/interaction reported but inconclusive with force-displacement behaviour.
